119,.,0,0,40,0.0,0.03332750496174472,0.01167628347978787,0.70057700878727225,3059,122360
120,.,0,0,40,0.0,0.03299422991212727,0.01222618731165666,0.73357123869939955,3099,123960
121,.,0,0,40,0.0,0.03266428761300599,0.012770592105206759,0.76623552631240555,3139,125560
122,.,0,0,40,0.0,0.032337644736875934,0.013309552850821358,0.79857317104928149,3179,127160
123,W,0,0,40,0.0,0.032014268289507174,0.01384312398897981,0.83058743933878865,3219,128760
124,A,0,0,40,0.0,0.031694125606612104,0.014371359415756679,0.86228156494540076,3219,128760
125,B,40,0,0,1.0,0.041377184350545985,0.015060979154932442,0.90365874929594658,3219,128760
126,C,0,0,40,0.0,0.040963412507040525,0.01574370269671645,0.94462216180298708,3219,128760
127,M,0,0,40,0.0,0.04055377838197012,0.016419599003082621,0.98517594018495735,3219,128760
128,N,0,0,40,0.0,0.04014824059815042,0.017088736346385129,1.0253241807831077,3219,128760
129,.,0,0,40,0.0,0.03974675819216891,0.01775118231625461,1.0650709389752766,3258,130320
130,.,0,0,40,0.0,0.03934929061024722,0.018407003826425399,1.1044202295855239,3298,131920
131,.,0,0,40,0.0,0.03895579770414475,0.019056267121494479,1.1433760272896687,3338,133520
132,.,0,0,40,0.0,0.0385662397271033,0.019699037783612868,1.1819422670167721,3378,135120
133,G,0,0,40,0.0,0.03818057732983227,0.020335380739110072,1.2201228443466043,3418,136720
134,H,40,0,0,1.0,0.047798771556533955,0.021132026931718968,1.2679216159031381,3418,136720
135,I,40,0,0,1.0,0.057320783840968614,0.02208737332906845,1.325242399744107,3418,136720
136,J,40,0,0,1.0,0.06674757600255893,0.023199832929111094,1.3919899757466656,3418,136720
137,K,40,0,0,1.0,0.07608010024253334,0.024467834599819986,1.4680700759891991,3418,136720
138,L,40,0,0,1.0,0.085319299240108,0.025889822920488449,1.5533893752293069,3418,136720
139,.,0,0,40,0.0,0.08446610624770692,0.027297591357950235,1.6378554814770141,3452,138080
140,.,0,0,40,0.0,0.08362144518522985,0.028691282111037397,1.7214769266622438,3492,139680
141,.,0,0,40,0.0,0.08278523073337755,0.030071035956593693,1.8042621573956215,3532,141280
142,.,0,0,40,0.0,0.08195737842604378,0.031436992263694424,1.8862195358216653,3572,142880
143,X,0,0,40,0.0,0.08113780464178334,0.032789289007724147,1.9673573404634488,3612,144480
144,A,40,0,0,1.0,0.09032642659536551,0.034294729450980235,2.0576837670588142,3612,144480
145,B,40,0,0,1.0,0.09942316232941184,0.035951782156470435,2.1571069293882261,3612,144480
146,C,40,0,0,1.0,0.10842893070611771,0.037592264334905728,2.2555358600943438,3612,144480
147,D,0,0,40,0.0,0.10734464139905653,0.039216341691556668,2.3529805014934002,3652,146080
148,E,40,0,0,1.0,0.11627119498506595,0.040990844941307773,2.4594506964784664,3652,146080
149,.,0,0,40,0.0,0.11510848303521529,0.042747603158561361,2.5648561895136814,3685,147400
150,.,0,0,40,0.0,0.11395739820486313,0.044486793793642398,2.6692076276185439,3725,149000
151,.,0,0,40,0.0,0.1128178242228145,0.046208592522372652,2.7725155513423592,3765,150600
152,.,0,0,40,0.0,0.11168964598058635,0.047913173263815584,2.8747903958289349,3805,152200
153,X,0,0,40,0.0,0.11057274952078049,0.049600708197844103,2.9760424918706461,3845,153800
154,A,40,0,0,1.0,0.11946702202557268,0.051438034449198991,3.0862820669519393,3845,153800
155,B,40,0,0,1.0,0.12827235180531696,0.053256987438040325,3.1954192462824196,3845,153800
156,C,40,0,0,1.0,0.1369896282872638,0.055224417563659929,3.3134650538195958,3845,153800
157,D,0,0,40,0.0,0.13561973200439115,0.057172173388023322,3.4303304032813995,3845,153800
158,E,40,0,0,1.0,0.14426353468434724,0.059267118320809754,3.5560270992485852,3845,153800
159,.,0,0,40,0.0,0.14282089933750378,0.061341113804268321,3.6804668282560993,3884,155360
160,.,0,0,40,0.0,0.14139269034412874,0.063394369332892303,3.8036621599735385,3924,156960
161,.,0,0,40,0.0,0.13997876344068746,0.065427092306230047,3.925625538373803,3964,158560
162,.,0,0,40,0.0,0.1385789758062806,0.06743948804983442,4.0463692829900655,4004,160160
163,Z,0,0,40,0.0,0.13719318604821779,0.069431759836002749,4.1659055901601647,4044,161760
164,D,0,0,40,0.0,0.1358212541877356,0.071404108904309371,4.2842465342585623,4044,161760
165,B,0,40,40,0.0,0.13446304164585826,0.073190067815266296,4.3914040689159775,4044,161760
166,C,40,0,0,1.0,0.1431184112293997,0.07512483380378028,4.5074900282268171,4044,161760
167,A,0,0,40,0.0,0.14168722711710569,0.077040252132409157,4.6224151279445493,4044,161760
168,E,0,40,40,0.0,0.14027035484593461,0.078936516277751737,4.736190976665104,4044,161760
169,.,0,0,40,0.0,0.13886765129747528,0.080813817781640873,4.8488290668984524,4076,163040
170,.,0,0,40,0.0,0.13747897478450052,0.082672346270491123,4.9603407762294678,4116,164640
171,.,0,0,40,0.0,0.13610418503665553,0.084512289474452912,5.0707373684671744,4156,166240
172,.,0,0,40,0.0,0.13474314318628897,0.08633383324637503,5.1800299947825019,4196,167840
173,Z,0,0,40,0.0,0.13339571175442608,0.088137161580577952,5.2882296948346772,4236,169440
174,D,0,0,40,0.0,0.13206175463688183,0.089922456631438843,5.3953473978863302,4236,169440
175,B,0,40,40,0.0,0.13074113709051302,0.091523232065124457,5.4913939239074674,4236,169440
176,C,40,0,0,1.0,0.1394337257196079,0.093274666411139878,5.5964799846683926,4236,169440
177,A,0,0,40,0.0,0.13803938846241182,0.09500858641369514,5.7005151848217084,4236,169440
178,E,0,40,40,0.0,0.13665899457778768,0.096725167216224858,5.8035100329734917,4236,169440
179,.,0,0,40,0.0,0.1352924046320098,0.098424582210729278,5.9054749326437568,4272,170880
180,.,0,0,40,0.0,0.13393948058568972,0.10010700305528865,6.006420183317319,4312,172480
181,.,0,0,40,0.0,0.13260008577983282,0.10177259969140244,6.1063559814841462,4352,174080
182,.,0,0,40,0.0,0.1312740849220345,0.10342154036115506,6.2052924216693031,4392,175680
183,Z,0,0,40,0.0,0.12996134407281415,0.10505399162421018,6.3032394974526111,4432,177280
